com.samsung.shealth.stress,6293007,8
create_sh_ver,start_time,custom,binning_data,tag_id,modify_sh_ver,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
100032,2025-02-15 19:37:15.000,,,10000,100032,2025-02-15 19:37:15.000,2025-02-15 19:37:15.000,19.0,19.0,19.0,1,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-02-15 19:37:15.000,28c1cd4d-3a00-a069-48e8-27539ac3c4d3,
100032,2025-02-15 21:05:18.000,,,10000,100032,2025-02-15 21:05:18.000,2025-02-15 21:05:18.000,0.0,0.0,0.0,1,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-02-15 21:05:18.000,566385ac-bfc7-f26f-18cb-55a15dc05335,
100032,2025-02-18 08:00:00.000,,3c8c7ba3-9c81-5cf4-8347-bd2d4e609322.binning_data.json,10011,100032,2025-02-18 08:59:00.000,2025-02-18 08:36:00.000,77.0,0.0,25.0,1,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-02-18 08:59:00.000,3c8c7ba3-9c81-5cf4-8347-bd2d4e609322,
100032,2025-02-18 09:00:00.000,,2260ca7c-e1d1-8880-fb5b-312a698f089e.binning_data.json,10011,100032,2025-02-18 09:59:00.000,2025-02-18 09:16:00.000,99.0,0.0,10.0,1,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-02-18 09:59:00.000,2260ca7c-e1d1-8880-fb5b-312a698f089e,
100032,2025-02-18 10:00:00.000,,e9b399c0-7d1a-f4cd-3f57-df24f6b6d116.binning_data.json,10011,100032,2025-02-18 10:59:00.000,2025-02-18 10:03:00.000,35.0,0.0,2.0,1,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-02-18 10:59:00.000,e9b399c0-7d1a-f4cd-3f57-df24f6b6d116,
100032,2025-02-18 11:00:00.000,,45e75ce6-6316-db06-9765-689af344b690.binning_data.json,10011,100032,2025-02-18 11:59:00.000,2025-02-18 11:19:00.000,9.0,0.0,2.0,1,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-02-18 11:59:00.000,45e75ce6-6316-db06-9765-689af344b690,
100032,2025-02-18 12:00:00.000,,78d139f1-8712-6f8f-8e74-0cd86c7720d1.binning_data.json,10011,100032,2025-02-18 12:59:00.000,2025-02-18 12:19:00.000,28.0,0.0,2.0,1,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-02-18 12:59:00.000,78d139f1-8712-6f8f-8e74-0cd86c7720d1,
100032,2025-02-18 13:00:00.000,,731eb532-1d29-5621-e50c-0ae41a44fcc9.binning_data.json,10011,100032,2025-02-18 13:59:00.000,2025-02-18 13:39:00.000,98.0,0.0,34.0,1,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-02-18 13:59:00.000,731eb532-1d29-5621-e50c-0ae41a44fcc9,
100032,2025-02-18 14:00:00.000,,76b67202-bf59-e911-3509-564b7314ea03.binning_data.json,10011,100032,2025-02-18 14:59:00.000,2025-02-18 14:28:00.000,99.0,0.0,33.0,1,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-02-18 14:59:00.000,76b67202-bf59-e911-3509-564b7314ea03,
100032,2025-02-18 16:00:00.000,,d360f20e-48b6-1535-ac14-9adbbd544fac.binning_data.json,10011,100032,2025-02-18 16:59:00.000,2025-02-18 16:08:00.000,96.0,0.0,4.0,1,UTC+0100,MhLCbMNGdz,,com.sec.android.app.shealth,2025-02-18 16:59:00.000,d360f20e-48b6-1535-ac14-9adbbd544fac,
